,Cleaned tweet,Tag
108,Being an illegal immigrant in Chile is the problem They give you everything and if you dont demand it and he runs to give it to you they will even have places in the constituent assembly,1
109,Albert you show yourself as a black shit making them make a depressing and degenerate noise He shows you in your maximum expression cheap miserly prostituted and without a vestige of being a human being Or why are you worthless and sold and a mercenary for illgotten money and a slaver,1
110,Illegal immigrants continue to enter and a Venezuelan who is a coordinator claims that it is an obligation to receive and protect them Beautiful life an immigrant comes to tell us what we should do in our country,1
111,Wait for the count immigrant trash were going to laugh anyway See you soon manure,1
112,This left posh has never seen a black or Moorish immigrant in her life The caste does not watch the documentaries of the nd,1
113,The Canary Islands are in a pandemic economic crisis unemployment hunger queues immigrant invasion Canaries how do you let yourself do this,1
114,M for ores and the schools Not one euro for an immigrant,1
115,For this there should be a CONTROLLED migration plan and BEWARE I AM AN IMMIGRANT but this continuous UNCONTROLLED arrival brings about the collapse of services and the local economy NORMAL would be for them to be returned to their country of origin but that would be We can and PSOE is not appropriate,1
116,Fuck you immigrant but a bad one,1
117,you left uninstalled valorant peruvian I win in a row they leave me in silver I lose and they lower me to bronze game of riot balls and the pussy of your colored immigrant sister,1
118,No correction Youre a mean black piece of shit,1
119,more immigrants last week in the Canary Islands staying in hotels The State pays euros per immigrant to hotel owners,1
120,The good thing about today is that I almost got into a fight with a shitty black guy,1
121,The fat Central American immigrant from Tokyo Godfathers who has the voice of a skinny upperclass white woman from Buenos Aires,1
122,But you filthy panchito you come to give your opinion if youre not even from Spain go watch the league that little panchita you have and leave the Spanish one alone Go pass on your football wisdom with your brothers the monkeys,1
123,Landauri black fucking failure,1
124,Well being of another nationality they dont have to get involved in those problems In Sweden it is prohibited for an immigrant to carry out these actions except for deportation,1
125,Thats right woman But you should know that if the person who exercises violence of any kind against you is an illegal immigrant neither Irene Montero nor any of her feminist beach bars will lift a finger for you,1
126,Lets close the land borders so as not to encounter surprises once they are here Too many immigrants without a profession without technical expertise Only criminals and evildoers who contribute NOTHING to the country Until then for the flute,1
127,You live on an island right You wont be able to spend money for your children but illegal immigrants live in your star hotels for free and you cant go out to dinner because the tourists are going to another country Whats funny kid,1
128,Ale suck it up in Guyana the immigrant is the white guy Mass immigration to eradicate the identity of the Guyanese,1
129,Its true that he left The shit is with so many immigrants its sad that he has arrived Just remember the Haitian man hitting cars What a shame for my country and all because of the lefthandedness and politicians of the Same shit I have a lot of anger,1
130,Illegal immigrant Spot,1
131,A Ghanaian immigrant kills a couple in Ferrol,1
132,They give this family an appointment in year Immigrants are attended to immediately This is how Spain goes,1
133,This disgusting shitty Moor and maximist from Chabelita sends morocco to hell with his kind of maximists,1
134,He is a fat and disgusting Marxist shitty Moor There will be no handsome Chabelita Moroccans not like this ugly and disgusting shitty Moor,1
135,A shitty Moor What the hell of a child,1
136,Shenanigans and evading paying taxes and altering votes are Echeniques specialties In these cases he moves like a fish in water What hurts him a lot is working as a good podemita apart from sudaca,1
137,Shut up you fucking nigga,1
138,Open borders for all legal and illegal immigrants including a few hitmen terrorists drug traffickers prostitutes loan sharks etc etc etc etc Now no one will take them out of the country,1
139,I shit on the fucking black shit,1
140,To aspire to a position like the one you have refers the first and most important thing is the seniority with the PSOE card Then come other merits such as activism being gaylesbianimmigrantof colorof the religion of peace All of that gives points,1
141,Without disparaging any disabled person but this guy is disabled in everything in his life It is incredible that this shitty immigrant is in Spain and that we have welcomed him as a good person,1
142,What kind of stupidity together could come from the union of an illiterate goodfornothing like Crdenas and a failed rancid Spanish immigrant Perfect,1
143,Maybe among the players there are some immigrants and everything,1
144,London with so many immigrants is horrible,1
145,We must hold an antiimmigrant march as soon as possible,1
146,Motherfucker you wanna keep cheatin nigga,1
147,Nobody kills this fucking nigger,1
148,Youre an illiterate bastard Ill stop talking to you,1
149,I dont care black shit,1
150,They neither know nor know the shame they want the Spaniard to be starving and the immigrant very happy to have the lost votes,1
151,JOE BIDEN DOES NOT LIVE UP TO THIS FUCKING SHIT MOOR,1
152,All day talking about a sick immigrant who murdered people Im waiting to hear what this person is doing here Who is responsible for the migration What inspection is done in the commune that the interior minister left What are the policies,1
153,Its true a fine is unfair you who have money should have been fined and expelled from the country for being an immigrant and having broken the confinement rules,1
154,In cities like Hamburg they are like in Sweden they are usurped the State protects the immigrant with subsidies and freedom to do what they want Eurabia is a fact,1
155,Obviously Im not going to leave you are the fascist I respect your ideas even if they make you poor that is your problem Take home an immigrant who is fleeing wars and welcome him or her with your family I prefer that they return to his country,1
156,Lmao wait you are a sudaca my fault for not speaking in mono,1
157,How funny to see that the loudmouth fucking Moor who talked the most was torn to pieces by his own toy and the others were pissing in the police station in fear hehe You take these guys away from fucking goats and they get lost,1
158,Thats not just an immigrant She is a terrorist it is very possible that that is the mission she was given,1
159,Thanks to his immigration plan today in Chile there are eight Chileans killed by a Colombian immigrant psychopath Well Done,1
160,With the family that looks like an Aztec tribe shitty Sudaca,1
161,CAUGHT ON CAMERA An immigrant from Africa dares to approach knock off the mask take the holy bible insult I say this because of the tone in which he said it the Father and leave in the middle of a mass,1
162,Moro of shit take your boat with your TAN TAN and TpC to your country point so you can die of hunger there,1
163,Black fucking hdp should be slave,1
164,An underrated Panchito Spain The only thing similar to your country that we have is the shit of P IGLESIAS what a lot you have sent the Echenique and on top of that Monedero and Iglesias are introduced into the communist socialist shit that exists in all of Latam what teachings,1
165,When a Government gives power to Minorities by classifying them from a Society that minority then takes advantage of their Victimism for the Protection of the State It must be an immigrant Muslim attacking a Christian No more I say,1
166,GreetingsMobiles little hotels payas and those here losing jobs and businesses collapsing Hunting the immigrant vote,1
167,With this serial killer once again we realize that any immigrant with a criminal record lives peacefully in Chile and justice does not work with all the crimes that preceded these crimes he was not expelled from the country GET OUT ABBOTT YOURE NO USE,1
168,The poor person is a person who belongs to the same sovereign nation as me Not the immigrant This has violated our national sovereignty illegally entering our territory the poor man has not,1
169,May God forgive me but you fucking black shit,1
170,Mr Manuel Jimnez mayor of Santo Domingo Este This improvised landfill on the Avenida de Las Amricas boulevard at the corner of Sabana Larga was created by a foreign immigrant who is irregularly in our country We await his eviction,1
171,What that shitty black guy needs is to be given a good hard time HDP and there will come a time when those scumbags are going to destroy Spain they should continue giving shelter to all those rats there are the consequences,1
172,FUCKING BOSTERS AGAIN INJURED ONE BY THAT FUCKING BLACK TEVEZ BAD MILK EVERYTHING COMES,1
173,And a day to each immigrant once I placed Spanish soil,1
174,A Barca fan dont pretend to be surprised,1
175,THE ASSHOLE WHO YELLS AT THE POLICE LOOKS LIKE HES NEVER CROSSED WITH A FUCKING BLACK LIKE THAT WHEN A JET GETS YOU HE DOES THAT TO YOU AND MUCH MORE AND IF HE WANTS TO HE SHOTS YOU YOU KNOW IT DAMN I WISH THEY HAD KILLED HIM we would say one less,1
176,Why dont you study or study a little Chanel achieved what no one else did she came out of poverty to dress the ladies of Paris she fell in love with a soldier yes but the sudaca not even being the daughter of a politician and denying her fathers last name will reach her ankles,1
177,Im just saying that its enough for any immigrant to enter without having respected the necessary procedures to get to Chile Because at this moment anyone believes they have the right to come to the country and say I want asylum thats not how things work,1
178,The other day I was walking down the street eating some nuggets and menas approached me and one asked me for food I gave him one and the fucking Moor complained to me,1
179,Damn fucking black Where are the defenders of the rights of wild gorillas,1
180,It seems that Panchito eats very well Happy day in communion with the Universe,1
181,You cant rent a room to an immigrant what do they have to lose I dont take the risk and look by renting a room you pay of the rent,1
182,Mrs Claudia Lpez simply tells the truth and the truth sometimes hurts I imagine that if it were the other way around you wouldnt say anything because the truth is if an immigrant doesnt come to contribute and instead dedicates himself to committing crimes he should be expelled period,1
183,Does the Venezuelan make some demands That Who is this guy Who did he believe If this immigrant does not like what is said about some of his country well go and never return and rather make those demands in his country of Now we have to ask for forgiveness IDIOT IDIOT,1
184,In Chile to get benefits you have to be lazy or an immigrant and you have everything from the state Health Gardens and nurseries living place Bonuses and subsidies,1
185,He sudaca to his own steal Echenique is the representative of one of the accounts for which Podemos is being investigated via,1
186,From in the morning walking around the shitty black people who cut off the Route how I hate them hdp,1
187,The illegal immigrant will go from the Canary Islands to Morocco with hosts and will not return again,1
188,A family rents a room to an immigrant woman and tries to poison them with bleach NO Its not xenophobia It starts to be SURVIVAL If they do not know how to live together let them be deported to their countries Spain is no place for this type of people DEPORTATIONS NOW,1
189,Will there be a feminist demonstration ahhh no he is an illegal immigrant all quiet,1
190,Colombian criminal serial killer Immigrant fauna is putting native fauna at real risk Politicians have been sleeping on immigration bills and others related to public safety And the sheepish public continues to vote for them,1
191,I generously give my dose to a subSaharan illegal immigrant,1
192,I blame the whore who gave birth to the shitty black man and his entire fucking family I believe in Allah Muhammad Koran Ramadan and the minaret with the Muslim within and all the atheists who defend these acts of vandalism I am agnostic and I respect who respects,1
193,The thing is that blacks Muslims and all immigrants who come from the Middle East and Africa are untouchable in Europe The rest of the people have to figure it out or be branded racist xenophobic and even fined or put in prison,1
194,Let them start by helping those here first They are the worst government the Canary Islands has ever had They help the immigrant first rather than the canary who has been left without income That is what we have achieved together The invasion is already a fact and now they ask Europe for help,1
195,The same thing that happens in old and cultured Europe When a Muslim immigrant makes a big mistake be it rape or murder the media modestly does not report that detail Political correctness and multiculturalism they say,1
196,Call him a fucking black man and now the progressives start calling you racist because hes a fucking black man,1
197,But if immigrants took over our country what can we expect from the moths that at least are from here,1
198,Steps to know if you are European Were you born in Europe If the answer is YES then you are European if the answer is NO then YOU ARE SUDACA DE PARRES SUDACAS ALSO ALTO BOLUDO End,1
199,This shitty black guy grabbed my mother who was angry and stupid,1
200,EAT MY FUCKING MORO DICK,1
201,Im very sad because I AM VERY METICULOUS with money and today when I didnt check with all my patience I got pieces of money I hope your bike crashes on an avenue and you break all your teeth black shit Kisses,1
202,Of thefts motorcycles per day the mother declared that her son was stealing the cops family is threatened the wife and children had to leave the house that shitty black man ruined their lives,1
203,Your last name or your husbands Blood is a very different thing from the adoption of a surname She is just a Sudaca aboriginal with pretensions of greatness coming from birth is what she counts when talking about class and nobility,1
204,The sudaca with European airs is ridiculous,1
205,Behavior of a black immigrant in a Church They will broadcast it on,1
206,We Spaniards are going to vitalize this image An immigrant enters Church violates the Bible insults and pushes the priest shouts in a sacred place and leaves so casually Of course dont miss the paguitas and the Koran and the untouchable mosques,1
207,Cute black Indian fucking party Evo,1
208,POLITICAL GENTLEMEN LOOK AT A COLOMBIAN FOREIGN IMMIGRANT KILLED CHILEANS AND YOU ARE PROMOTING A NEW FOREIGN IMMIGRATION LAW LIKE THE UN,1
209,but the most progressive thing is to let in every immigrant who wants to enter and then when its too late you cant solve the problem,1
210,She is not a mena nor an irregular immigrant nor a feminazi she is a simple Spanish woman and that is of no interest because there are many and they dont appear on TV What people dont understand is that you cant help everyone and these work simply because of propaganda Its all posturing,1
211,A Colombian immigrant who entered with a criminal record killed eight people on the street in the commune of Estacin Central Seriously we shouldnt ask arriving immigrants for anything Seriously you dont have to make a selection and you have to let anyone in,1
212,I try to control my anger but then I see images like this and I cant Spanish hoteliers selfemployed with their businesses closed or ready unemployed of all kinds and we have to give the all inclusive bracelet in luxury hotels to so many illegal immigrants leave atpc NOW,1
213,Isnt it bad to give an opinion on the politics of a country in which you are an immigrant,1
214,And did the left want to give this illegal immigrant a reserved spot to write our constitution,1
215,Who has the host of Ramos Puyol retired due to injuries Damn and Panchito calls me Fanboy who seems to live by defending Ramos with the indefensible Shut up for a month now weigh yourself every time you write you screw up man you say one thing he answered it and you go on to another topic,1
216,THEY ARE NOT IMMIGRANTS THEY ARE INVADERS AN IMMIGRANT COMPLIES WITH IMMIGRATION LAWS,1
217,I shit on the fucking black son of a bitch They dont respect anything they come to suck like ticks Do we have to put up with this,1
218,Undoubtedly your way of answering is becoming less and less virile It doesnt surprise me either In addition to being an immigrant slow resentful and fanatic not much of a man,1
219,IMMIGRANT WAS ARRESTED FOR BEING THE KILLER OF PEOPLE THIS IS THE CONTRIBUTION AND THE NO INCOME CONTROL OF IMMIGRANTS LET THIS GOVERNMENT AND YOUR BELLOLIO STOP ENTRY CHILE COLLAPSES,1
220,Thank you for making plans to put an end to so many thieves in Bogot please dont let them go because if you dont approve the robberies and a tough hand with so many immigrants do something to make them leave the country,1
221,According to statistics the percentage of crimes in proportion to the population is much higher among the immigrant population so we go around the constitution and discriminate against a part of the population in an unjustified manner,1
222,Im the priest and I put a consecration on him that ripped off the fucking black mans head,1
223,I have children and my wife and I are disabled I have a normal salary and at my subsidized school the one closest to my house I DO NOT have a meal scholarship but if I am an immigrant even if I have fewer children they would give it to me Im not asking you to make me better EQUALIZE IT,1
224,We are the only fucking country where if you come as an immigrant they are going to give you financial aid they are going to pay for a star hotel and free PCR Are we Assholes,1
225,Theres someone on my street watching panchito videos and I swear Im sick to death,1
226,Get all that human scum out of the country The only thing missing is for taxes to rise to maintain this bunch of immigrant coffee,1
227,Every that is subsidized to an immigrant legal or illegal is that a Spaniard who is earlier on the list does not receive,1
228,This goes beyond Morocco For every immigrant who arrives every minor who is not really such the Spanish Government defrays millions of euros that could be invested in the Spanish people,1
229,Is it so difficult for masks to be free I demand the same rights as an illegal immigrant,1
230,A violent violent illegal immigrant A tremendous punch and death threats over a packet of tobacco arrested in the center of Pamplona via,1
231,Anything to say about this attack by AN ILLEGAL IMMIGRANT on a working woman in a tobacco shop shouting that the government pay for the tobacco Something to say Marquise Irenova Monterova YOU DISGUST HYPOCRITES YOUR CHIRINGUITO IS EXPENSIVE FOR US SPANISH PEOPLE,1
232,When immigrants arrive in Spain everyone is interviewed except the immigrant,1
233,The first measure of a government of emergency and national salvation must be the general deportation of all immigrants who have arrived illegally on the Spanish coast in recent months,1
234,You must be sudaca no wonder intelligence,1
235,Every time I meet a Venezuelan immigrant I can exploit and make him believe that the pesos I give him a day is worth gold,1
236,The immigrant Monasterio trying to whitewash her past simply makes herself even more ridiculous,1
237,Now he wants us to distribute them by communities and give them a ticket to go to the rest of Europe President say clearly that you do not want a single illegal immigrant not one and we start looking for solutions,1
238,Nor you from Paracuellos ungrateful immigrant,1
239,That fucking ape is stupid You cant expect much from those people,1
240,If Bogota was full of rats now it is full of so many immigrants,1
241,I only see an immigrant who came to take jobs away from the Spanish,1
242,You fucking black bastard your mothers pussy you son of a bitch Ferrari of Boulogne,1
243,Lets remember Rajoy put police officers on boats with garbage of food and conditions Today Snchez the destroyer pays hotels for the immigrant with full board Politicians we voters already know the message we are not stupid,1
244,The people from Buenos Aires from Buenos Aires from Buenos Aires from Buenos Aires I dont know what they call themselves have it in their blood to be a shitty black man it is impressive how there is no way they can stop being one whatever they do hahaha unviable country largely thanks to them,1
245,How FUCKING BLACK do you have to be to stone ambulances,1
246,No Im simply not a sudaca who doesnt even know how to punctuate a simple sentence and must try to disguise his ardor with hahaha less convincing than his arguments,1
247,Pure black shit Say it without shame,1
248,Its always the polices fault Never from the shitty black people who like quilombo and who repress it,1
249,Stealing cell phones fucking nigga Forgive the expression but they are not anything else SICK OF LIVING HERE,1
250,Send rubber to those shitty niggers,1
251,You are mongue and also a shitty hdgp an ungrateful little boy who is ungrateful to the country that has provided him with a motorbike to be able to move his rubble body Go to your Leave Argentina and leave the people of Madrid alone your clown,1
252,Sure but I cant go to a bowling alley to have fun like before I cant travel to see my sister because I have cancer I cant go to school I cant do anything and from one day to the next everything is filled with people for a shitty black man and no one says or does anything na,1
253,Did you vote for this you fucking nigger MONTHS of confinement for this I hate you all MONKEY MOTHERFUCKERS PLANEROSSSSSS,1
254,How much black shit and on top of that they ask for respect I dont understand,1
255,And you a fucking piece of shit go steal in the street and see if you can find food in the trash,1
256,Have you already paid the euros of the sentence you immigrant trash,1
257,How much black shit is loose,1
258,Where do you live Where do you pay taxes Hang it here for all of us to see Subsidized immigrant This month double pay,1
259,Its already a mess always the same shitty black people in the blackest shitty country,1
260,Can someone explain to me what the problem is with putting an illegal immigrant on the next plane back to an Islamist state with which an agreement has been signed beforehand There the immigrant will remember his or her origin immediately Problem solved,1
261,How helpless I am man a shitty black man died and it literally appeared everywhere EVERY FUCKING DAY women die and it doesnt appear anywhere Argentina your mothers pussy,1
262,A shitty black man already took a photo with the corpse and here the idiots replicate it They do not have more than neurons in the brain Respect idiots didnt they teach you that word,1
263,Thats not my real name nor do you know what it feels like to be like that take the pill and I dont want it to give you anything continue in your poor life as a third world immigrant,1
264,Typical halfhaired bataclana and tilinga brunette anywhere in the world I regret to tell you that you will not stop being a SUDACA What a shame doctor pathetic life must be the one you live someone who does not want to be who he is,1
265,Say he was a fucking Moor Be honest,1
266,I only know Keylor Navas Im not going to lie to you and he has the typical panchito face that I see in Madrid,1
267,You are going to give the lessons yourself very low level compare Figo with an illegal immigrant who comes to live off the story and to hit and destroy come on man,1
268,What difference is there between this son of a bitch and the murderer who killed the boy Gabriel Well your direct clown defended her because she was a woman black and an immigrant,1
269,Chiques at this point in life fucking black used as an insult by gorillaism YES IM A FUCKING BLACK GIRL FOR,1
270,An immigrant with papers is one thing and someone without papers is another You can call that an invader Without losing respect,1
271,This has happened to me the best thing is that it was said to my girlfriend by a fivefootsix little guy who always beat him when we played soccer in the park and on top of that he was calisthenic,1
272,What a fucking Moor you useless redneck go to your fucking country youre disgusting,1
273,That an illegal immigrant Nazi belonging to a dunghill like Vox created by the lobbies and by the North American Steve Bannon having all the Santander bank media in his favor says this Spain is a joke A circus,1
